0 10 5 8 9 7 11 6 14 4 3 0 6 12 14 7 8 6 4 0
0 10 13 7 0 2 5 7 4 14 11 0 6 0 10 4 2 4 14 0
0 6 3 7 12 11 13 2 12 14 4 0 10 9 6 8 6 13 11 0
0 10 13 7 0 2 6 11 9 5 14 0 10 5 1 4 9 7 12 0
0 10 5 1 0 13 11 5 8 5 4 0 6 12 14 13 6 1 14 0
0 6 0 10 4 7 14 7 13 10 0 0 10 5 8 5 12 2 7 0
0 10 5 1 7 10 6 4 0 5 0 0 10 5 8 0 1 0 1 0
0 6 12 14 2 13 7 4 0 9 2 0 6 12 14 7 12 13 1 0
0 10 5 8 0 8 13 7 6 2 3 0 6 12 14 9 10 8 9 0
0 10 9 6 7 6 14 7 12 10 13 0 10 9 11 8 11 13 4 0
0 10 5 1 0 13 6 1 2 6 11 0 6 12 14 7 8 4 9 0
0 10 5 1 8 4 2 9 14 8 5 0 6 3 5 4 12 1 2 0
0 6 0 10 3 11 5 0 13 2 14 0 10 13 7 12 13 12 6 0
0 6 3 5 4 12 1 6 11 0 9 0 10 13 7 0 14 8 7 0
0 10 5 8 9 7 2 0 9 8 13 0 10 9 6 5 9 12 5 0
0 10 5 1 4 0 6 0 11 9 3 0 6 12 6 8 6 13 8 0
0 6 0 10 3 11 13 9 10 14 5 0 6 0 9 1 2 6 5 0
0 6 3 7 13 9 4 1 9 5 7 0 10 9 6 2 6 7 11 0
0 10 13 7 0 2 1 6 9 1 11 0 6 12 14 7 8 4 9 0
0 6 3 5 4 12 1 0 6 11 8 0 10 5 8 13 2 11 8 0
0 10 5 8 9 6 12 5 2 0 2 0 10 9 11 8 11 3 5 0
0 10 13 7 0 14 12 8 11 13 7 0 6 12 8 9 7 8 5 0
0 10 5 1 7 2 14 3 4 5 8 0 10 9 11 8 14 10 3 0
0 10 13 7 0 14 12 8 6 12 11 0 10 5 8 13 9 5 8 0
0 10 9 6 14 0 10 11 10 12 4 0 10 13 7 12 13 12 6 0
0 6 12 8 9 0 1 11 9 14 10 0 6 0 3 12 14 11 3 0
0 6 3 7 12 2 11 10 5 9 3 0 10 5 8 9 7 10 8 0
0 10 5 8 0 10 3 13 7 4 14 0 6 12 3 1 8 13 4 0
0 10 9 6 2 11 14 5 8 9 5 0 6 3 5 4 12 1 2 0
0 6 12 8 7 5 6 12 13 0 3 0 6 12 14 7 12 13 1 0
0 10 9 4 8 12 10 14 0 2 13 0 6 12 14 9 10 8 9 0
