11 1 0 1 4
11 1 0 2 4
11 1 11 13 14
11 1 0 1 2
11 1 0 2 0
11 1 0 1 11
11 1 11 13 3
11 1 11 13 5
11 1 11 7 5
11 1 11 13 7
11 1 11 13 1
11 0 5 0 1
11 1 11 13 4
11 1 0 1 13
11 1 8 6 0
11 0 2 1 2
11 0 5 6 9
11 1 0 1 12
11 1 0 4 0
11 0 5 0 11
11 1 11 7 6
11 1 0 1 0
11 1 11 1 0
11 1 0 2 1
11 1 0 1 7
11 1 0 2 11
11 0 5 0 2
11 0 2 1 4
11 1 0 4 2
11 0 5 6 0
11 1 11 7 0
11 1 11 7 2
11 1 11 2 1
11 1 0 2 8
11 0 5 0 10
11 0 5 6 10
11 0 2 1 13
11 0 2 1 12
11 1 0 2 7
11 0 5 0 14
11 0 5 6 4
11 0 5 6 3
11 0 2 1 7
11 1 0 12 13
11 0 2 1 8
11 1 0 2 10
11 0 5 0 12
11 1 8 6 4
11 1 8 0 1
11 1 0 2 14
11 1 0 9 1
11 0 2 1 14
11 0 5 6 7
11 0 2 1 3
11 1 0 12 2
11 1 0 2 3
11 1 0 12 4
11 0 2 1 0
11 1 0 9 4
11 0 5 4 12
11 0 5 2 14
11 0 12 4 7
11 1 0 9 14
11 1 8 12 4
11 1 8 6 3
11 0 12 4 3
11 0 2 10 1
11 1 0 4 1
11 1 0 1 10
11 1 11 1 11
11 0 5 0 4
11 1 0 1 8
11 1 11 13 11
11 1 0 1 5
11 1 11 1 5
11 1 11 7 1
11 1 11 1 4
