11 1 11 13 4 13
11 1 11 13 14 13
11 1 11 13 4 8
11 1 11 1 4 0
11 1 0 2 1 2
11 1 0 1 5 0
11 1 0 2 11 1
11 1 0 1 13 2
11 1 8 6 0 1
11 1 11 13 11 5
11 1 0 1 10 1
11 0 5 6 0 13
11 0 5 6 0 12
11 1 0 1 13 9
11 1 0 1 4 2
11 1 0 2 0 5
11 1 0 1 4 12
11 1 0 1 0 6
11 1 11 1 11 8
11 1 11 1 0 1
11 1 0 1 0 1
11 1 11 13 11 13
11 1 0 2 4 9
11 1 0 2 4 6
11 1 0 2 4 5
11 0 5 0 2 4
11 0 2 1 4 0
11 0 5 6 0 4
11 1 11 1 11 1
11 1 0 4 0 2
11 1 0 1 11 9
11 1 0 1 10 5
11 1 0 2 0 1
11 1 0 1 2 11
11 1 11 7 5 7
11 1 11 13 14 1
11 0 5 0 1 3
11 1 11 13 14 2
11 1 0 1 2 8
11 0 5 6 9 2
11 0 2 1 2 13
11 1 0 4 0 6
11 0 5 0 4 2
11 1 11 13 14 9
11 1 0 1 2 5
11 0 2 1 4 1
11 0 5 0 2 0
11 1 0 1 2 0
11 1 0 2 0 9
11 1 0 2 0 11
11 0 5 6 0 2
11 1 0 1 11 12
11 0 5 0 1 11
11 1 0 1 11 0
11 1 0 1 10 11
11 1 11 13 1 0
11 1 11 13 1 4
11 1 0 1 7 9
11 1 11 7 5 3
11 1 11 7 5 2
11 0 5 0 2 10
11 1 11 13 3 1
11 1 11 13 5 4
11 1 0 1 4 10
11 0 5 0 2 8
11 1 11 7 5 14
11 1 11 13 7 10
11 0 5 0 2 7
11 1 0 1 10 8
11 1 0 1 13 10
11 1 11 7 5 12
11 0 5 0 2 14
11 1 11 7 5 4
11 1 11 13 7 1
11 0 2 1 2 3
11 1 0 1 12 9
11 1 0 2 0 3
11 0 5 0 1 14
11 0 2 1 2 9
11 0 5 0 1 12
11 1 11 13 7 2
11 1 11 7 5 1
11 1 0 2 0 4
11 0 5 6 9 1
11 0 2 1 2 4
11 1 0 1 13 6
11 0 5 6 9 0
11 0 2 1 2 8
11 0 2 1 2 7
11 0 5 6 9 4
11 0 5 6 9 3
11 1 0 1 12 13
11 0 5 0 14 3
11 1 0 2 0 10
11 1 0 4 0 12
11 1 0 2 0 14
11 1 0 9 1 0
11 0 2 1 0 1
11 1 0 4 0 9
11 0 2 1 2 10
11 0 5 6 9 7
11 1 0 1 12 7
11 1 0 2 0 12
11 1 8 0 1 0
11 1 0 1 10 9
11 1 11 7 5 6
11 1 11 13 7 6
11 0 5 0 2 3
11 1 11 2 1 2
11 0 5 0 11 8
11 0 5 0 11 12
11 1 11 2 1 9
11 0 5 0 14 10
11 1 11 7 6 2
11 1 11 7 6 12
11 0 5 0 14 12
11 1 0 2 0 6
11 1 0 1 0 2
11 1 11 1 0 2
11 1 0 1 5 7
11 1 0 1 5 1
11 1 0 1 13 0
11 1 0 1 12 0
11 0 5 0 1 5
11 1 11 1 11 5
11 1 11 7 1 0
11 1 11 1 0 12
11 1 11 1 5 4
11 1 0 2 1 5
11 1 0 4 2 0
11 0 5 0 2 1
11 0 2 1 4 2
11 1 0 2 1 0
11 1 0 1 4 7
11 1 0 1 11 6
11 1 0 4 0 14
11 0 5 0 1 7
11 0 2 1 2 11
11 1 0 1 7 0
11 0 5 0 11 9
11 0 2 1 4 6
11 1 0 2 11 5
11 0 2 1 2 6
11 0 2 1 2 0
11 1 0 9 1 5
11 1 8 6 4 7
11 1 8 0 1 2
11 1 0 2 7 0
11 1 0 2 10 5
11 1 0 4 1 10
11 1 0 4 1 2
11 1 0 4 2 5
11 1 0 2 8 0
11 0 5 6 0 14
11 1 11 13 5 8
11 1 8 0 1 4
11 1 11 13 1 9
11 1 11 7 0 2
11 1 11 7 2 0
11 0 5 0 10 12
11 0 5 6 0 1
11 0 5 6 0 11
11 0 5 6 0 3
11 1 11 13 7 0
11 1 11 7 6 3
11 0 5 0 10 13
11 1 11 7 0 1
11 1 11 7 2 1
11 0 5 6 0 10
11 0 2 1 4 5
11 0 2 1 2 5
11 1 8 6 4 10
11 1 8 6 4 1
11 1 8 6 0 12
11 1 0 4 2 14
11 0 5 6 3 1
11 1 8 6 0 11
11 0 2 1 4 12
11 0 2 1 2 14
11 0 5 0 12 14
11 1 0 9 1 14
11 0 2 1 14 8
11 0 5 6 3 4
11 1 8 6 4 3
11 1 8 6 0 14
11 1 0 2 4 7
11 0 2 1 4 7
11 0 2 1 7 12
11 1 8 0 1 12
11 1 11 2 1 4
11 1 0 2 4 10
