5 13 9 6 3 4 11 1 4 5 0 6 0 10 1 0 11 0
5 13 9 6 1 3 5 13 9 5 0 6 5 7 6 2 9 0
5 13 14 11 2 3 1 12 10 5 13 9 6 3 4 3 1 0
5 13 3 6 0 2 0 6 5 5 13 9 2 0 4 2 3 0
5 0 1 13 14 7 13 6 13 5 0 6 0 8 7 8 11 0
5 13 14 11 5 2 3 0 10 5 0 6 5 6 4 2 12 0
5 0 6 8 12 6 1 2 0 5 13 14 1 3 0 3 14 0
5 13 14 11 10 4 3 6 10 5 0 1 13 14 3 0 3 0
5 0 1 6 0 2 7 11 8 5 13 9 2 7 0 3 2 0
5 13 9 6 5 3 2 0 12 5 0 6 14 8 5 8 7 0
5 13 9 6 5 3 2 0 12 5 13 9 2 3 1 5 6 0
5 0 6 4 0 2 10 11 0 5 0 1 2 1 11 10 11 0
5 13 9 2 10 3 1 11 6 5 13 14 11 5 2 4 3 0
5 0 1 13 7 6 3 7 13 5 0 6 5 6 14 2 12 0
5 0 9 1 0 14 3 1 10 5 0 6 8 6 9 11 14 0
5 13 9 6 4 1 0 2 14 5 13 9 2 1 0 2 5 0
5 13 9 6 5 11 6 3 9 5 13 14 11 10 7 3 2 0
5 13 14 11 10 2 4 1 10 5 13 9 6 3 4 0 13 0
5 13 9 6 3 2 3 1 5 5 0 6 10 5 7 1 5 0
5 0 1 6 0 2 14 4 9 5 0 6 0 12 14 3 14 0
5 13 14 11 10 14 12 4 2 5 0 6 8 6 13 6 12 0
5 0 6 10 11 5 6 13 3 5 0 6 8 5 0 2 3 0
5 0 1 2 14 4 1 11 0 5 0 6 14 8 0 10 12 0
5 0 6 10 3 11 5 0 9 5 0 6 5 0 3 6 9 0
5 0 6 4 0 2 5 6 13 5 13 9 6 4 0 14 1 0
5 0 9 1 0 14 3 1 11 5 0 6 14 8 0 8 11 0
5 0 1 13 4 12 5 9 5 5 13 14 11 10 7 3 2 0
5 13 9 2 1 12 10 3 10 5 0 1 2 3 4 0 13 0
5 13 9 6 4 0 14 9 13 5 0 6 8 5 8 11 14 0
5 13 9 6 11 5 7 1 0 5 0 6 8 0 4 10 12 0
5 13 9 6 11 5 7 1 0 5 13 14 11 5 4 2 1 0
5 13 9 6 11 5 7 1 0 5 13 14 11 5 6 4 3 0
5 0 6 10 3 1 14 7 3 5 0 6 4 0 8 0 8 0
5 0 1 13 14 12 4 5 1 5 0 1 13 14 3 0 3 0
5 13 14 11 0 3 0 5 12 5 13 14 11 5 8 12 5 0
5 0 9 1 0 2 5 14 6 5 0 6 8 0 3 4 13 0
5 13 9 6 4 0 10 5 0 5 0 1 0 7 1 5 13 0
5 13 9 2 0 10 11 4 2 5 0 1 13 14 7 8 6 0
5 0 6 4 0 2 10 7 5 5 13 9 6 3 1 9 2 0
