0 1 0 2 0
0 1 0 2 1
0 9 3 1 0
0 1 2 7 0
0 1 2 0 1
0 1 2 7 1
0 1 2 1 0
0 1 2 5 0
0 1 2 0 2
0 1 2 3 0
0 1 2 0 3
0 1 2 10 0
0 1 2 3 1
0 1 0 2 3
0 1 2 3 2
0 1 2 10 1
0 1 2 1 2
0 1 0 1 0
0 9 3 4 0
0 9 14 1 0
0 9 1 3 0
0 1 2 3 4
0 1 0 2 5
0 1 2 1 3
0 9 3 1 2
0 1 2 3 5
0 9 3 11 0
0 9 3 0 1
0 9 3 1 3
0 9 3 4 1
0 9 1 0 1
0 1 2 3 6
0 9 1 3 1
0 1 2 1 5
0 9 3 5 2
0 1 2 0 9
0 1 2 10 4
0 9 1 0 2
0 9 3 1 4
0 9 3 0 3
0 1 2 3 8
0 9 1 0 3
0 9 3 11 1
0 1 0 2 7
0 1 2 3 9
0 9 3 0 4
0 9 3 8 0
0 9 3 4 3
0 1 0 1 2
0 9 3 1 7
0 1 2 1 9
0 1 2 1 10
0 9 3 11 2
0 9 3 8 1
0 9 3 5 4
0 1 0 2 10
0 9 1 3 4
0 1 0 1 5
0 1 2 3 13
0 9 1 3 5
0 1 6 0 1
0 1 2 7 5
0 9 3 5 6
0 1 2 10 8
0 1 0 1 9
0 9 3 4 7
0 9 3 5 8
0 9 3 1 12
0 9 1 6 3
0 9 3 1 14
0 1 2 7 8
0 9 1 0 9
0 9 3 11 6
0 9 1 3 11
0 9 1 6 14
0 9 14 1 3
0 9 14 1 7
